Date,Symbol,Open,High,Low,Close,Volume
2018-03-29,ADBL,250.13,257.36,250.13,255.75,8252
2018-04-01,ADBL,257.36,257.36,247.72,252.54,6979
2018-04-02,ADBL,252.54,255.75,249.31,252.54,6267
2018-04-03,ADBL,249.31,255.75,249.31,253.34,3431
2018-04-04,ADBL,254.15,262.19,253.34,261.38,12813
2018-04-05,ADBL,265.4,269.43,258.17,266.21,22167
2018-04-08,ADBL,267.81,279.88,266.21,273.44,17000
2018-04-09,ADBL,274.25,278.27,268.62,269.43,13810
2018-04-10,ADBL,265.4,271.03,261.38,268.62,6099
2018-04-11,ADBL,267.02,269.43,263.79,269.43,5135
2018-04-12,ADBL,270.23,273.44,267.02,271.03,9067
2018-04-15,ADBL,269.43,273.44,262.19,273.44,7648
2018-04-16,ADBL,273.44,274.25,269.43,271.84,5765
2018-04-17,ADBL,273.44,275.85,270.23,271.03,17345
2018-04-18,ADBL,273.44,284.71,271.03,277.47,17497
2018-04-19,ADBL,282.29,283.9,279.08,282.29,24467
2018-04-22,ADBL,283.11,297.58,283.11,296.76,36790
2018-04-23,ADBL,302.4,307.23,289.53,289.53,39505
2018-04-24,ADBL,285.52,293.56,277.47,288.73,16417
2018-04-25,ADBL,289.53,289.53,282.29,283.11,10118
2018-04-26,ADBL,283.9,284.71,277.47,279.88,10047
2018-04-29,ADBL,275.06,279.88,271.03,276.67,10608
2018-05-02,ADBL,273.44,275.06,271.84,274.25,5447
2018-05-03,ADBL,275.85,283.11,275.85,278.27,9858
2018-05-06,ADBL,278.27,278.27,275.85,276.67,9671
2018-05-07,ADBL,273.44,277.47,272.65,275.85,6251
2018-05-08,ADBL,275.85,275.85,273.44,275.85,5181
2018-05-09,ADBL,277.47,279.08,276.67,276.67,6849
2018-05-10,ADBL,273.44,278.27,271.03,275.85,11575
2018-05-14,ADBL,272.65,276.67,271.84,274.25,4201
2018-05-15,ADBL,274.25,275.06,271.03,272.65,2916
2018-05-16,ADBL,271.84,276.67,271.03,274.25,3039
2018-05-17,ADBL,275.06,275.85,272.65,272.65,6983
2018-05-20,ADBL,275.06,276.67,271.84,273.44,9261
2018-05-21,ADBL,269.43,273.44,269.43,273.44,10925
2018-05-22,ADBL,269.43,273.44,269.43,271.03,6973
2018-05-23,ADBL,273.44,273.44,268.62,268.62,8116
2018-05-24,ADBL,268.62,271.84,269.43,269.43,5963
2018-05-27,ADBL,269.43,269.43,265.4,267.02,6118
2018-05-28,ADBL,265.4,279.08,263.79,273.44,5764
2018-05-29,ADBL,273.44,275.06,268.62,271.03,9698
2018-05-30,ADBL,271.03,273.44,269.43,272.65,10982
2018-05-31,ADBL,273.44,273.44,271.03,271.84,8381
2018-06-03,ADBL,269.43,270.23,262.19,265.4,14980
2018-06-04,ADBL,262.19,266.21,260.58,264.61,6154
2018-06-06,ADBL,267.02,273.44,267.02,270.23,3379
2018-06-07,ADBL,270.23,270.23,261.38,262.99,3481
2018-06-10,ADBL,262.99,262.99,252.54,254.95,9920
2018-06-11,ADBL,254.95,262.19,254.15,259.77,5594
2018-06-12,ADBL,256.56,259.77,254.95,258.17,3235
2018-06-13,ADBL,257.36,258.97,254.15,255.75,3924
2018-06-14,ADBL,256.56,260.58,256.56,258.17,3956
2018-06-17,ADBL,257.36,257.36,252.54,257.36,1083
2018-06-18,ADBL,257.36,257.36,249.31,252.54,6878
2018-06-19,ADBL,258.97,258.97,254.15,254.15,3309
2018-06-20,ADBL,252.54,252.54,248.52,250.93,5309
2018-06-21,ADBL,249.31,254.15,249.31,249.31,9336
2018-06-24,ADBL,246.11,254.95,246.11,252.54,3045
2018-06-25,ADBL,254.15,254.15,250.13,251.74,3561
2018-06-26,ADBL,250.13,251.74,246.9,250.13,7623
2018-06-27,ADBL,249.31,250.93,247.72,250.13,1402
2018-06-28,ADBL,249.31,250.93,247.72,250.93,10595
2018-07-01,ADBL,250.13,250.13,245.3,245.3,5338
2018-07-02,ADBL,241.27,247.72,240.48,246.11,4610
2018-07-03,ADBL,242.89,247.72,242.89,245.3,3991
2018-07-04,ADBL,245.3,249.31,241.27,248.52,8901
2018-07-05,ADBL,250.93,255.75,250.13,254.95,2638
2018-07-08,ADBL,254.95,258.17,254.15,254.95,9349
2018-07-09,ADBL,254.15,254.15,247.72,249.31,4364
2018-07-10,ADBL,250.13,252.54,249.31,251.74,47740
2018-07-11,ADBL,253.34,254.95,249.31,250.93,40507
2018-07-12,ADBL,251.74,253.34,249.31,249.31,12730
2018-07-15,ADBL,248.52,252.54,248.52,250.13,2890
2018-07-16,ADBL,250.13,253.34,250.13,252.54,32979
2018-07-17,ADBL,254.15,254.95,253.34,253.34,1983
2018-07-18,ADBL,253.34,254.95,251.74,254.95,3133
2018-07-19,ADBL,254.15,254.95,250.13,253.34,6170
2018-07-22,ADBL,252.54,254.15,251.74,252.54,8337
2018-07-23,ADBL,252.54,254.95,251.74,251.74,3905
2018-07-24,ADBL,251.74,255.75,251.74,251.74,7297
2018-07-25,ADBL,253.34,253.34,250.13,252.54,6281
2018-07-26,ADBL,252.54,253.34,251.74,253.34,5608
2018-07-29,ADBL,255.75,256.56,253.34,255.75,9058
2018-07-30,ADBL,254.15,256.56,253.34,256.56,5984
2018-07-31,ADBL,256.56,258.17,255.75,258.17,7541
2018-08-01,ADBL,256.56,259.77,256.56,258.97,9526
2018-08-02,ADBL,258.97,262.99,258.17,262.99,5188
2018-08-05,ADBL,262.99,263.79,261.38,263.79,3712
2018-08-06,ADBL,263.79,263.79,261.38,262.19,9520
2018-08-07,ADBL,261.38,262.19,260.58,262.19,4342
2018-08-08,ADBL,261.38,262.99,258.97,261.38,1567
2018-08-09,ADBL,258.97,261.38,256.56,259.77,5748
2018-08-12,ADBL,258.97,258.97,251.74,255.75,3439
2018-08-13,ADBL,253.34,256.56,253.34,254.95,2778
2018-08-14,ADBL,254.95,260.58,254.95,258.97,6036
2018-08-15,ADBL,262.19,275.85,262.19,271.03,37824
2018-08-16,ADBL,276.67,277.47,269.43,273.44,25581
2018-08-19,ADBL,276.67,276.67,271.84,271.84,21370
2018-08-20,ADBL,273.44,273.44,267.02,269.43,14359
2018-08-21,ADBL,269.43,269.43,266.21,267.81,8787
2018-08-22,ADBL,269.43,276.67,266.21,276.67,3613
2018-08-23,ADBL,271.84,271.84,267.81,269.43,7504
2018-08-26,ADBL,269.43,271.03,265.4,267.81,3588
2018-08-28,ADBL,267.81,269.43,265.4,267.81,7354
2018-08-29,ADBL,268.62,268.62,265.4,266.21,6392
2018-08-30,ADBL,266.21,269.43,266.21,268.62,9985
2018-09-02,ADBL,267.81,273.44,267.81,272.65,9661
2018-09-03,ADBL,270.23,279.08,270.23,275.85,15425
2018-09-04,ADBL,273.44,279.08,273.44,277.47,17187
2018-09-05,ADBL,274.25,291.15,274.25,286.31,29704
2018-09-06,ADBL,289.53,295.97,281.49,283.11,33936
2018-09-09,ADBL,283.9,283.9,278.27,278.27,7740
2018-09-10,ADBL,278.27,278.27,273.44,275.06,4112
2018-09-11,ADBL,273.44,281.49,273.44,277.47,4778
2018-09-12,ADBL,277.47,285.52,277.47,282.29,12667
2018-09-13,ADBL,283.11,288.73,282.29,283.11,20006
2018-09-16,ADBL,289.53,303.21,286.31,295.17,53133
2018-09-17,ADBL,295.17,297.58,288.73,289.53,21307
2018-09-18,ADBL,287.93,291.15,287.12,288.73,9249
