Date,Symbol,Open,High,Low,Close,Volume
2018-03-29,EBL,552.79,563.39,552.79,560.36,17611
2018-04-01,EBL,561.88,561.88,537.65,552.04,10320
2018-04-02,EBL,552.79,552.79,545.97,549.01,8258
2018-04-03,EBL,545.21,550.51,545.21,549.01,10006
2018-04-04,EBL,551.27,564.14,550.51,560.36,9887
2018-04-05,EBL,564.14,577.79,564.14,577.79,17683
2018-04-08,EBL,589.14,611.86,584.59,611.1,30563
2018-04-09,EBL,620.94,634.58,613.37,616.4,23809
2018-04-10,EBL,609.58,620.94,598.22,605.8,9072
2018-04-11,EBL,608.82,608.82,595.19,605.8,6119
2018-04-12,EBL,617.91,617.91,602.01,603.52,13365
2018-04-15,EBL,609.58,609.58,594.44,604.28,5928
2018-04-16,EBL,592.92,612.61,592.92,605.8,5610
2018-04-17,EBL,609.58,612.61,602.77,608.82,11512
2018-04-18,EBL,609.58,658.8,605.8,620.19,13786
2018-04-19,EBL,632.3,634.58,620.94,630.03,20366
2018-04-22,EBL,630.03,655.02,636.08,648.96,26389
2018-04-23,EBL,661.83,681.51,639.88,651.24,21755
2018-04-24,EBL,651.24,651.24,636.08,636.08,8635
2018-04-25,EBL,632.3,632.3,617.16,624.73,12187
2018-04-26,EBL,617.16,628.52,604.28,605.04,17296
2018-04-29,EBL,602.01,609.58,592.92,603.52,8912
2018-05-02,EBL,602.01,602.77,586.87,597.47,15908
2018-05-03,EBL,602.01,612.61,598.22,599.74,10890
2018-05-06,EBL,602.01,602.01,594.44,594.44,7682
2018-05-07,EBL,591.41,591.41,583.08,587.63,10821
2018-05-08,EBL,586.87,598.22,583.08,597.47,7674
2018-05-09,EBL,597.47,597.47,580.04,592.17,7611
2018-05-10,EBL,589.14,592.17,584.59,586.87,7205
2018-05-14,EBL,586.87,586.87,578.54,578.54,9480
2018-05-15,EBL,575.5,575.5,569.45,572.48,5082
2018-05-16,EBL,570.2,571.73,566.42,567.94,9741
2018-05-17,EBL,568.69,570.2,564.14,566.42,8868
2018-05-20,EBL,571.73,571.73,560.36,561.88,9903
2018-05-21,EBL,564.91,567.94,552.04,555.07,10451
2018-05-22,EBL,560.36,560.36,551.27,552.79,9683
2018-05-23,EBL,552.79,556.58,545.21,551.27,7550
2018-05-24,EBL,551.27,555.82,546.73,549.01,10633
2018-05-27,EBL,549.01,549.01,530.07,536.13,19118
2018-05-28,EBL,533.86,556.58,531.58,553.55,8205
2018-05-29,EBL,557.33,561.12,547.49,557.33,20797
2018-05-30,EBL,552.79,567.94,552.04,554.3,6601
2018-05-31,EBL,552.79,556.58,545.21,549.76,8567
