Date,symbol,Open,High,Low,Close,Volume
2018-03-29,HIDCL,106.26,108.03,105.38,107.14,6407
2018-04-01,HIDCL,107.58,107.58,103.62,103.62,37639
2018-04-02,HIDCL,103.17,106.26,103.17,105.38,1785
2018-04-03,HIDCL,104.94,106.7,104.5,106.7,9529
2018-04-04,HIDCL,107.58,108.03,106.7,108.03,1976
2018-04-05,HIDCL,108.03,108.47,107.14,108.47,5613
2018-04-08,HIDCL,109.34,111.99,108.03,111.55,23754
2018-04-09,HIDCL,112.88,113.75,109.34,109.34,25028
2018-04-10,HIDCL,109.34,110.67,108.9,109.79,19414
2018-04-11,HIDCL,110.67,110.67,108.47,110.23,1992
2018-04-12,HIDCL,110.67,110.67,109.34,109.79,4993
2018-04-15,HIDCL,109.34,110.67,108.47,109.34,5620
2018-04-16,HIDCL,110.23,111.55,108.9,109.34,7468
2018-04-17,HIDCL,109.34,115.52,109.34,115.52,34216
2018-04-18,HIDCL,116.85,122.57,113.31,119.05,58604
2018-04-19,HIDCL,120.37,123.02,118.16,119.49,63451
2018-04-22,HIDCL,120.37,123.46,118.61,122.57,38482
2018-04-23,HIDCL,123.9,123.9,118.16,119.49,37464
2018-04-24,HIDCL,118.16,120.81,115.96,118.16,15495
2018-04-25,HIDCL,116.85,119.05,115.52,115.52,13284
2018-04-26,HIDCL,114.2,116.85,114.2,116.4,17201
2018-04-29,HIDCL,115.52,116.85,113.75,116.85,7292
2018-05-02,HIDCL,116.85,119.49,114.64,119.49,8923
2018-05-03,HIDCL,119.93,119.93,117.29,117.29,15297
2018-05-06,HIDCL,117.72,119.05,115.52,119.05,8955
2018-05-07,HIDCL,117.72,117.72,115.52,116.85,15006
2018-05-08,HIDCL,117.29,119.05,115.52,117.29,14020
2018-05-09,HIDCL,115.96,118.61,115.96,116.85,4798
2018-05-10,HIDCL,115.52,118.16,115.52,116.85,5212
2018-05-14,HIDCL,117.72,119.05,116.85,118.16,28108
2018-05-15,HIDCL,118.61,118.61,117.29,117.29,2835
2018-05-16,HIDCL,117.72,117.72,116.4,116.4,2567
2018-05-17,HIDCL,115.96,118.61,115.52,116.85,6471
2018-05-20,HIDCL,116.85,119.49,115.96,116.4,3423
2018-05-21,HIDCL,115.96,118.16,115.96,118.16,4935
2018-05-22,HIDCL,119.05,119.05,116.4,116.85,7817
2018-05-23,HIDCL,116.85,116.85,115.52,116.4,2150
2018-05-24,HIDCL,116.4,116.85,115.08,115.52,6203
2018-05-27,HIDCL,115.52,116.4,114.2,115.52,7787
2018-05-28,HIDCL,114.64,118.16,114.64,118.16,5783
2018-05-29,HIDCL,119.49,119.49,115.08,116.85,5689
