Date,symbol,Open,High,Low,Close,Volume
2014-08-04,NABIL,2583,2560,2470,2480,1906
2014-08-04,NABIL,2580,2612,2565,2571,2070
2014-08-04,NABIL,2571,2600,2575,2583,2243
2014-08-04,NABIL,2652,2620,2600,2600,856
2014-08-04,NABIL,2600,2610,2560,2610,281
2014-08-04,NABIL,2610,2610,2576,2580,1885
2014-08-05,NABIL,2480,2550,2500,2500,4958
2014-08-06,NABIL,2500,2505,2480,2489,3605
2014-08-07,NABIL,2489,2500,2470,2472,2121
2014-08-12,NABIL,2472,2470,2415,2415,1179
2014-08-13,NABIL,2415,2505,2385,2450,3685
2014-08-14,NABIL,2450,2550,2425,2513,3681
2014-08-18,NABIL,2513,2555,2490,2505,7582
2014-08-19,NABIL,2505,2511,2475,2475,2987
2014-08-20,NABIL,2475,2480,2400,2418,5743
2014-08-21,NABIL,2418,2502,2270,2441,4752
2014-08-24,NABIL,2441,2520,2439,2470,2179
2014-08-25,NABIL,2470,2519,2280,2360,4877
2014-08-26,NABIL,2360,2407,2223,2223,7014
2014-08-27,NABIL,2223,2400,2267,2365,7514
2014-08-28,NABIL,2365,2530,2410,2412,7784
2014-08-31,NABIL,2412,2578,2460,2462,28055
2014-09-01,NABIL,2462,2460,2380,2402,8973
2014-09-03,NABIL,2402,2488,2400,2424,6112
2014-09-04,NABIL,2424,2410,2377,2397,4050
2014-09-07,NABIL,2397,2375,2230,2230,3957
2014-09-09,NABIL,2230,2387,2250,2365,2375
2014-09-10,NABIL,2365,2425,2320,2320,4288
2014-09-11,NABIL,2320,2320,2250,2260,2728
2014-09-14,NABIL,2260,2285,2220,2276,3404
2014-09-15,NABIL,2276,2346,2260,2300,2930
2014-09-16,NABIL,2300,2346,2285,2325,3472
2014-09-17,NABIL,2325,2350,2300,2300,3375
2014-09-21,NABIL,2247,2215,2165,2190,2116
2014-09-22,NABIL,2190,2175,2140,2174,2830
2014-09-23,NABIL,2174,2270,2195,2213,2415
2014-09-24,NABIL,2213,2346,2250,2344,2407
2014-09-28,NABIL,2344,2375,2330,2345,2614
2014-09-29,NABIL,2345,2427,2360,2399,4217
2014-09-30,NABIL,2399,2407,2357,2395,2574
2014-10-08,NABIL,2395,2394,2370,2370,433
2014-10-09,NABIL,2370,2380,2340,2380,704
2014-10-12,NABIL,2380,2360,2320,2360,1152
2014-10-13,NABIL,2360,2315,2250,2272,2487
2014-10-14,NABIL,2272,2310,2280,2290,1237
2014-10-15,NABIL,2290,2340,2298,2340,845
2014-10-16,NABIL,2340,2375,2328,2340,1374
2014-10-19,NABIL,2340,2324,2295,2315,2320
2014-10-20,NABIL,2315,2320,2300,2320,1595
2014-10-21,NABIL,2320,2361,2310,2324,1935
2014-10-22,NABIL,2324,2366,2314,2350,1509
2014-10-26,NABIL,2350,2359,2350,2350,428
2014-10-27,NABIL,2350,2375,2349,2364,185
2014-10-28,NABIL,2364,2364,2340,2350,1392
2014-10-30,NABIL,2350,2376,2306,2325,2519
2014-11-02,NABIL,2325,2325,2280,2290,1073
2014-11-03,NABIL,2290,2255,2200,2200,3592
2014-11-04,NABIL,2200,2210,2160,2210,2684
2014-11-05,NABIL,2210,2218,2170,2206,6995
2014-11-06,NABIL,2206,2235,2191,2220,7739
2014-11-09,NABIL,2220,2252,2200,2217,11263
2014-11-10,NABIL,2217,2249,2180,2200,6328
2014-11-11,NABIL,2200,2200,2175,2200,6449
2014-11-12,NABIL,2200,2209,2170,2170,11776
2014-11-13,NABIL,1808,1830,1800,1800,99
2014-11-16,NABIL,1800,1765,1670,1709,2309
2014-11-17,NABIL,1709,1678,1611,1635,3945
2014-11-18,NABIL,1635,1667,1564,1667,2897
2014-11-19,NABIL,1667,1710,1634,1710,2153
2014-11-20,NABIL,1710,1765,1700,1739,2401
2014-11-24,NABIL,1742,1724,1710,1715,2010
2014-11-24,NABIL,1739,1773,1695,1742,4018
2014-11-25,NABIL,1715,1710,1666,1696,3089
2014-11-30,NABIL,1696,1700,1680,1680,2125
2014-12-01,NABIL,1680,1701,1670,1692,3262
2014-12-02,NABIL,1692,1680,1635,1680,3265
2014-12-03,NABIL,1680,1710,1665,1665,2392
2014-12-04,NABIL,1665,1720,1687,1714,3338
2014-12-07,NABIL,1714,1718,1700,1701,3015
2014-12-08,NABIL,1701,1707,1700,1707,1571
2014-12-09,NABIL,1707,1720,1700,1715,2452
2014-12-10,NABIL,1715,1745,1682,1720,1666
2014-12-11,NABIL,1720,1800,1686,1800,4183
2014-12-14,NABIL,1800,1947,1836,1945,864
2014-12-15,NABIL,1945,2000,1881,1950,3945
2014-12-16,NABIL,1950,1950,1915,1926,3779
2014-12-17,NABIL,1926,1915,1875,1875,2618
2014-12-18,NABIL,1875,1938,1885,1938,701
2014-12-22,NABIL,1938,1900,1825,1836,1715
2014-12-23,NABIL,1836,1810,1800,1800,1178
2014-12-24,NABIL,1800,1856,1800,1856,3276
2014-12-28,NABIL,1856,1892,1858,1870,2045
2014-12-29,NABIL,1870,1890,1835,1873,1493
2014-12-31,NABIL,1873,1855,1820,1820,2162
2015-01-01,NABIL,1820,1875,1835,1875,2383
2015-01-04,NABIL,1875,1889,1866,1880,1918
2015-01-05,NABIL,1880,1901,1855,1886,2264
2015-01-06,NABIL,1886,1862,1852,1852,421
2015-01-07,NABIL,1852,1898,1870,1885,1365
2015-01-08,NABIL,1885,1901,1880,1890,1201
2015-01-11,NABIL,1890,1881,1855,1855,1113
2015-01-12,NABIL,1855,1859,1840,1855,490
2015-01-13,NABIL,1855,1890,1825,1890,1921
2015-01-14,NABIL,1890,1890,1866,1869,643
2015-01-18,NABIL,1869,1894,1866,1894,1573
2015-01-19,NABIL,1894,2038,1857,1982,22822
2015-01-20,NABIL,1982,1950,1932,1950,2981
2015-01-22,NABIL,1950,1940,1853,1940,2851
2015-01-25,NABIL,1940,1960,1876,1950,2272
2015-01-26,NABIL,1950,1986,1950,1950,3083
2015-01-27,NABIL,1950,1974,1950,1974,1708
2015-01-28,NABIL,1974,2020,1974,2020,4973
2015-01-29,NABIL,2020,2030,1990,2012,2342
2015-02-01,NABIL,2012,2060,1912,2051,2215
2015-02-02,NABIL,2051,2062,2033,2050,5873
2015-02-03,NABIL,2050,2055,2006,2021,4156
2015-02-04,NABIL,2021,2025,2001,2010,4416
2015-02-05,NABIL,2010,2020,1995,2012,3419
2015-02-08,NABIL,2012,2017,2000,2010,1634
2015-02-09,NABIL,2010,2010,1980,1990,2813
2015-02-10,NABIL,1990,1998,1990,1998,1360
2015-02-11,NABIL,1998,2000,1998,1998,418
2015-02-12,NABIL,1998,2005,1985,2005,2850
2015-02-15,NABIL,2005,2004,1996,2000,2124
2015-02-16,NABIL,2000,2000,1985,1995,1483
2015-02-18,NABIL,1995,1985,1975,1985,1539
2015-02-22,NABIL,1985,1960,1930,1947,2341
2015-02-23,NABIL,1947,1940,1905,1939,3583
2015-02-24,NABIL,1939,1950,1915,1950,499
2015-02-25,NABIL,1950,1952,1940,1952,1894
2015-02-26,NABIL,1952,1960,1960,1960,65
2015-03-01,NABIL,1926,1940,1903,1930,1809
2015-03-02,NABIL,1930,1930,1920,1925,6343
2015-03-03,NABIL,1925,1930,1920,1930,316
2015-03-04,NABIL,1930,1961,1935,1940,1399
2015-03-09,NABIL,1940,1975,1949,1961,2158
2015-03-10,NABIL,1961,1972,1940,1942,1395
2015-03-11,NABIL,1942,1960,1940,1960,855
2015-03-12,NABIL,1960,1945,1930,1945,504
2015-03-15,NABIL,1945,1930,1916,1925,851
2015-03-16,NABIL,1925,1920,1910,1911,681
2015-03-17,NABIL,1911,1920,1905,1906,1912
2015-03-18,NABIL,1906,1917,1880,1901,1952
2015-03-19,NABIL,1901,1925,1900,1925,803
2015-03-22,NABIL,1925,1920,1900,1909,2388
2015-03-23,NABIL,1909,1904,1888,1900,1911
2015-03-24,NABIL,1900,1900,1880,1900,919
2015-03-25,NABIL,1900,1901,1865,1887,1876
2015-03-26,NABIL,1887,1887,1860,1870,1816
2015-03-29,NABIL,1870,1880,1840,1880,794
2015-03-30,NABIL,1880,1882,1879,1881,1513
2015-03-31,NABIL,1881,1890,1875,1875,808
2015-04-01,NABIL,1875,1875,1860,1875,232
2015-04-02,NABIL,1875,1889,1855,1889,1601
2015-04-06,NABIL,1865,1880,1830,1880,719
2015-04-06,NABIL,1889,1870,1850,1865,1849
2015-04-07,NABIL,1880,1870,1870,1870,134
2015-04-08,NABIL,1870,1895,1865,1895,649
2015-04-09,NABIL,1895,1930,1900,1905,633
2015-04-12,NABIL,1905,1960,1900,1940,1785
2015-04-13,NABIL,1940,1930,1895,1920,1721
2015-04-15,NABIL,1920,1930,1895,1895,738
2015-04-16,NABIL,1895,1950,1885,1950,1399
2015-04-19,NABIL,1950,1930,1895,1925,1956
2015-04-20,NABIL,1925,1940,1900,1940,1739
2015-04-21,NABIL,1940,1930,1900,1930,6138
2015-04-22,NABIL,1930,1916,1916,1916,58
2015-04-23,NABIL,1900,1905,1870,1902,2509
2015-05-25,NABIL,1902,1864,1712,1712,731
2015-05-26,NABIL,1712,1695,1603,1650,7687
2015-05-27,NABIL,1650,1640,1585,1615,2258
2015-05-28,NABIL,1615,1632,1575,1602,4064
2015-05-31,NABIL,1602,1723,1634,1723,2975
2015-06-02,NABIL,1819,1850,1810,1850,1778
2015-06-03,NABIL,1850,1908,1860,1908,1392
2015-06-07,NABIL,1900,1911,1900,1910,1707
2015-06-07,NABIL,1908,1930,1880,1900,2197
2015-06-08,NABIL,1910,1940,1915,1935,478
2015-06-09,NABIL,1935,2010,1963,2010,2923
2015-06-10,NABIL,2010,2002,1980,1982,3961
2015-06-11,NABIL,1982,1970,1940,1940,661
2015-06-14,NABIL,1940,1965,1921,1925,1089
2015-06-16,NABIL,1925,1930,1900,1900,600
2015-06-17,NABIL,1900,1900,1881,1881,2620
2015-06-18,NABIL,1881,1880,1880,1880,332
2015-06-21,NABIL,1880,1875,1860,1875,436
2015-06-22,NABIL,1870,1885,1860,1875,3016
2015-06-23,NABIL,1861,1880,1851,1880,2293
2015-06-24,NABIL,1880,1885,1880,1881,1352
2015-06-25,NABIL,1885,1885,1850,1885,3274
2015-06-28,NABIL,1895,1901,1886,1900,911
2015-06-29,NABIL,1900,1920,1890,1905,3878
2015-06-30,NABIL,1930,1930,1892,1909,2117
2015-07-01,NABIL,1925,1925,1896,1909,2457
2015-07-02,NABIL,1900,1910,1900,1905,2986
2015-07-05,NABIL,1918,1920,1901,1919,2251
2015-07-06,NABIL,1900,1923,1900,1923,902
2015-07-07,NABIL,1904,1930,1902,1911,3906
2015-07-08,NABIL,1916,1916,1905,1910,1567
2015-07-09,NABIL,1920,1922,1900,1920,1628
2015-07-12,NABIL,1920,1935,1900,1935,2796
2015-07-13,NABIL,1925,1932,1907,1924,1398
2015-07-14,NABIL,1924,1925,1910,1920,439
2015-07-15,NABIL,1916,1930,1916,1930,1266
2015-07-22,NABIL,1910,1925,1900,1900,3604
2015-07-23,NABIL,1900,2010,1900,2010,6999
2015-07-27,NABIL,2091,2300,2132,2300,46545
2015-07-27,NABIL,2010,2091,2050,2091,2070
2015-07-28,NABIL,2300,2305,2200,2250,15694
2015-07-29,NABIL,2250,2250,2225,2240,7549
2015-07-30,NABIL,2240,2346,2240,2300,5450
2015-08-02,NABIL,2300,2346,2300,2310,6054
2015-08-03,NABIL,2310,2310,2298,2309,6203
2015-08-04,NABIL,2309,2310,2271,2289,6686
2015-08-05,NABIL,2289,2290,2279,2289,6523
2015-08-09,NABIL,2300,2398,2320,2398,7017
2015-08-10,NABIL,2398,2493,2420,2490,7210
2015-08-11,NABIL,2490,2500,2450,2470,5823
2015-08-12,NABIL,2469,2480,2430,2471,4389
2015-08-13,NABIL,2465,2500,2440,2499,7919
2015-08-16,NABIL,2519,2650,2519,2595,8792
2015-08-17,NABIL,2646,2750,2623,2690,14195
2015-08-18,NABIL,2700,2784,2637,2700,14079
2015-08-19,NABIL,2701,2709,2660,2690,7336
2015-08-20,NABIL,2740,2794,2690,2695,8915
2015-08-23,NABIL,2680,2719,2630,2670,7495
2015-08-24,NABIL,2680,2680,2600,2610,7472
2015-08-25,NABIL,2600,2600,2566,2579,2958
2015-08-26,NABIL,2580,2585,2555,2556,1184
2015-08-27,NABIL,2590,2615,2570,2580,5228
2015-08-31,NABIL,2580,2600,2580,2599,5198
2015-09-01,NABIL,2599,2606,2570,2579,4880
2015-09-02,NABIL,2550,2550,2456,2480,5980
2015-09-03,NABIL,2480,2505,2454,2465,7315
2015-09-06,NABIL,2435,2475,2400,2450,7695
2015-09-07,NABIL,2480,2510,2480,2499,6420
2015-09-08,NABIL,2548,2548,2527,2531,5434
2015-09-09,NABIL,2540,2550,2511,2511,2291
2015-09-10,NABIL,2515,2515,2496,2500,3357
2015-09-13,NABIL,2530,2530,2500,2505,3986
2015-09-14,NABIL,2555,2630,2555,2578,5240
2015-09-15,NABIL,2629,2674,2616,2674,7770
2015-09-16,NABIL,2710,2720,2665,2675,8423
2015-09-17,NABIL,2728,2725,2640,2640,7164
2015-09-22,NABIL,2601,2601,2490,2510,6135
2015-09-23,NABIL,2560,2710,2560,2600,4063
2015-09-24,NABIL,2610,2610,2550,2575,2943
2015-09-28,NABIL,2525,2524,2425,2491,7147
2015-09-29,NABIL,2540,2550,2530,2540,1860
2015-09-30,NABIL,2560,2580,2550,2560,3841
2015-10-01,NABIL,2560,2579,2550,2550,4485
2015-10-04,NABIL,2576,2600,2570,2570,3832
2015-10-05,NABIL,2519,2519,2400,2440,8896
2015-10-06,NABIL,2401,2415,2392,2395,5150
2015-10-07,NABIL,2390,2390,2315,2350,4895
2015-10-08,NABIL,2350,2440,2300,2435,8804
2015-10-11,NABIL,2460,2480,2375,2375,5062
2015-10-14,NABIL,2395,2398,2350,2375,1262
2015-10-15,NABIL,2360,2360,2355,2360,645
2015-10-18,NABIL,2350,2358,2350,2358,635
2015-10-19,NABIL,2355,2430,2345,2400,1322
2015-10-25,NABIL,2356,2356,2356,2356,200
2015-10-27,NABIL,2340,2340,2280,2285,2207
2015-10-28,NABIL,2235,2270,2190,2240,4705
2015-10-29,NABIL,2242,2290,2242,2279,3741
2015-11-01,NABIL,2279,2300,2250,2275,3800
2015-11-02,NABIL,2290,2330,2290,2310,2382
2015-11-03,NABIL,2300,2289,2266,2266,831
2015-11-04,NABIL,2270,2280,2270,2280,1000
2015-11-05,NABIL,2260,2260,2250,2250,1347
2015-11-08,NABIL,2240,2251,2225,2249,1418
2015-11-09,NABIL,2290,2320,2270,2280,2009
2015-11-10,NABIL,2300,2320,2300,2310,850
2015-11-15,NABIL,2280,2305,2275,2305,911
2015-11-16,NABIL,2290,2290,2275,2288,628
2015-11-18,NABIL,2315,2315,2300,2309,1524
2015-11-19,NABIL,2300,2300,2288,2288,1574
2015-11-22,NABIL,2250,2255,2200,2205,2830
2015-11-23,NABIL,2180,2210,2100,2210,1707
2015-11-24,NABIL,2200,2210,2170,2180,3418
2015-11-25,NABIL,2160,2160,2125,2130,1678
2015-11-26,NABIL,2130,2130,2060,2100,4339
2015-11-29,NABIL,2100,2100,2000,2020,7340
2015-11-30,NABIL,2060,2090,2046,2089,3522
2015-12-01,NABIL,2090,2220,2131,2200,2984
2015-12-02,NABIL,2244,2250,2181,2248,6332
2015-12-03,NABIL,2205,2300,2205,2300,9386
2015-12-06,NABIL,1769,1840,1799,1819,2215
2015-12-07,NABIL,1850,1950,1850,1895,3087
2015-12-08,NABIL,1870,1900,1858,1900,670
2015-12-09,NABIL,1910,1940,1910,1940,2083
2015-12-10,NABIL,1940,1940,1900,1900,1769
2015-12-13,NABIL,1881,1903,1881,1903,1240
2015-12-14,NABIL,1890,1890,1880,1890,1024
