Date,Symbol,Open,High,Low,Close,Volume
2014-08-05,NFS,169.0,166.0,163.0,163.0,261
2014-08-13,NFS,163.0,160.0,157.0,157.0,684
2014-08-18,NFS,157.0,154.0,151.0,154.0,616
2014-08-19,NFS,154.0,151.0,148.0,148.0,469
2014-08-20,NFS,148.0,146.0,134.0,134.0,850
2014-08-21,NFS,134.0,132.0,130.0,130.0,109
2014-09-11,NFS,130.0,128.0,126.0,126.0,991
2014-09-24,NFS,126.0,124.0,124.0,124.0,567
2019-12-17,NFS,124.0,136.0,122.0,136.0,865
2019-12-18,NFS,138.0,149.0,138.0,149.0,5155
2019-12-19,NFS,151.0,163.0,151.0,163.0,2934
2019-12-22,NFS,166.0,179.0,147.0,147.0,13863
2019-12-23,NFS,145.0,154.0,141.0,151.0,5514
2019-12-25,NFS,148.0,148.0,136.0,136.0,1210
2019-12-26,NFS,135.0,135.0,123.0,132.0,3835
2019-12-29,NFS,134.0,140.0,134.0,140.0,455
2019-12-31,NFS,142.0,144.0,130.0,144.0,5397
2020-01-01,NFS,146.0,146.0,140.0,140.0,1060
2020-01-02,NFS,142.0,144.0,142.0,142.0,1510
2020-01-05,NFS,140.0,140.0,130.0,134.0,815
2020-01-06,NFS,132.0,135.0,128.0,135.0,2220
2020-01-07,NFS,133.0,133.0,130.0,130.0,1005
2020-01-08,NFS,129.0,129.0,128.0,128.0,510
2020-01-09,NFS,128.0,128.0,126.0,126.0,940
2020-01-12,NFS,125.0,130.0,124.0,128.0,1398
2020-01-13,NFS,128.0,128.0,124.0,124.0,2930
2020-01-14,NFS,125.0,136.0,125.0,133.0,1875
2020-01-15,NFS,135.0,135.0,134.0,134.0,564
2020-01-16,NFS,136.0,142.0,136.0,141.0,740
2020-01-19,NFS,143.0,145.0,141.0,141.0,170
2020-01-20,NFS,143.0,143.0,143.0,143.0,135
2020-01-21,NFS,143.0,143.0,143.0,143.0,50
2020-01-26,NFS,145.0,145.0,143.0,143.0,3510
2020-01-27,NFS,145.0,147.0,145.0,147.0,20
2020-01-28,NFS,154.0,154.0,149.0,149.0,20
2020-01-29,NFS,156.0,156.0,153.0,153.0,110
2020-01-30,NFS,153.0,153.0,150.0,150.0,1500
2020-02-04,NFS,157.0,157.0,157.0,157.0,10
2020-02-06,NFS,154.0,154.0,142.0,142.0,2400
2020-02-09,NFS,140.0,140.0,129.0,134.0,3077
2020-02-10,NFS,134.0,135.0,134.0,135.0,990
2020-02-11,NFS,133.0,135.0,129.0,135.0,1585
2020-02-12,NFS,133.0,134.0,131.0,131.0,960
2020-02-13,NFS,132.0,137.0,132.0,137.0,2434
2020-02-16,NFS,136.0,136.0,135.0,135.0,330
