Date,symbol,Open,High,Low,Close,Volume
2018-03-29,NICA,262.18,267.23,257.98,264.71,10960
2018-04-01,NICA,265.55,265.55,254.62,258.82,11449
2018-04-02,NICA,257.14,258.82,256.3,258.82,2719
2018-04-03,NICA,254.62,258.82,254.62,258.82,5288
2018-04-04,NICA,260.5,263.87,257.98,260.5,5694
2018-04-05,NICA,265.55,268.07,261.34,267.23,14733
2018-04-08,NICA,268.91,278.99,268.91,277.31,25338
2018-04-09,NICA,281.51,282.35,271.43,275.63,15606
2018-04-10,NICA,271.43,278.99,265.55,270.59,9966
2018-04-11,NICA,266.39,271.43,265.55,271.43,3501
2018-04-12,NICA,273.95,275.63,270.59,271.43,8904
2018-04-15,NICA,268.91,270.59,263.87,267.23,13360
2018-04-16,NICA,267.23,273.95,267.23,272.27,10296
2018-04-17,NICA,270.59,278.99,270.59,277.31,13633
2018-04-18,NICA,277.31,292.44,275.63,284.03,17142
2018-04-19,NICA,285.71,293.28,281.51,286.55,33625
2018-04-22,NICA,286.55,300.0,286.55,299.16,33695
2018-04-23,NICA,300.0,303.36,292.44,294.12,35197
2018-04-24,NICA,290.76,293.28,287.39,288.24,14697
2018-04-25,NICA,288.24,289.08,284.87,286.55,15294
2018-04-26,NICA,285.71,287.39,282.35,283.19,24001
2018-04-29,NICA,280.67,284.87,278.15,282.35,42224
2018-05-02,NICA,281.51,284.03,278.15,284.03,11337
2018-05-03,NICA,286.55,287.39,284.03,286.55,32659
2018-05-06,NICA,284.03,285.71,281.51,283.19,11511
2018-05-07,NICA,281.51,287.39,278.99,283.19,17494
2018-05-08,NICA,283.19,286.55,281.51,284.87,15267
2018-05-09,NICA,287.39,288.24,283.19,287.39,14076
2018-05-10,NICA,283.19,288.24,283.19,284.03,12434
2018-05-14,NICA,284.03,286.55,283.19,284.87,20858
2018-05-15,NICA,284.03,285.71,284.03,285.71,2489
2018-05-16,NICA,285.71,285.71,283.19,285.71,4606
2018-05-17,NICA,285.71,287.39,284.87,285.71,12323
2018-05-20,NICA,289.92,289.92,284.87,285.71,10094
2018-05-21,NICA,285.71,288.24,284.03,288.24,6321
2018-05-22,NICA,284.87,285.71,284.03,284.03,8541
2018-05-23,NICA,284.03,284.03,282.35,282.35,7443
2018-05-24,NICA,282.35,284.03,280.67,280.67,26336
2018-05-27,NICA,279.83,279.83,274.79,276.47,10394
2018-05-28,NICA,275.63,286.55,275.63,279.83,5608
2018-05-29,NICA,278.99,284.03,277.31,284.03,6193
2018-05-30,NICA,285.71,289.08,282.35,284.87,14724
2018-05-31,NICA,284.03,285.71,280.67,283.19,16961
2018-06-03,NICA,278.15,284.03,272.27,275.63,9977
2018-06-04,NICA,270.59,276.47,270.59,273.95,7155
2018-06-06,NICA,278.99,284.03,278.99,280.67,3040
2018-06-07,NICA,278.99,279.83,273.95,274.79,6980
2018-06-10,NICA,273.11,273.11,266.39,269.75,12953
2018-06-11,NICA,268.07,273.11,264.71,270.59,17638
2018-06-12,NICA,268.07,273.11,268.07,273.11,4469
2018-06-13,NICA,268.07,273.11,268.07,272.27,2655
2018-06-14,NICA,276.47,277.31,272.27,274.79,8432
2018-06-17,NICA,273.11,273.11,267.23,268.91,23503
2018-06-18,NICA,268.91,273.95,264.71,267.23,4545
2018-06-19,NICA,267.23,268.91,263.03,267.23,83801
2018-06-20,NICA,267.23,268.91,266.39,267.23,2517
2018-06-21,NICA,263.87,268.91,263.87,264.71,2483
2018-06-24,NICA,263.03,269.75,263.03,265.55,1673
2018-06-25,NICA,266.39,267.23,263.03,263.03,4336
2018-06-26,NICA,267.23,267.23,259.66,260.5,18030
2018-06-27,NICA,257.14,264.71,257.14,262.18,7345
2018-06-28,NICA,263.03,265.55,262.18,263.87,15615
2018-07-01,NICA,266.39,269.75,261.34,261.34,4695
2018-07-02,NICA,259.66,265.55,257.14,257.98,12858
2018-07-03,NICA,257.14,262.18,257.14,261.34,7603
2018-07-04,NICA,260.5,265.55,259.66,263.87,8879
2018-07-05,NICA,266.39,268.91,263.03,268.91,12796
2018-07-08,NICA,268.07,270.59,264.71,266.39,5834
2018-07-09,NICA,264.71,266.39,263.03,265.55,12165
2018-07-10,NICA,267.23,271.43,265.55,268.07,8415
2018-07-11,NICA,269.75,270.59,261.34,262.18,9992
2018-07-12,NICA,263.03,264.71,261.34,264.71,13648
2018-07-15,NICA,264.71,266.39,261.34,266.39,5868
2018-07-16,NICA,266.39,268.07,264.71,265.55,3562
2018-07-17,NICA,266.39,268.91,265.55,265.55,4190
2018-07-18,NICA,266.39,266.39,265.55,266.39,4878
2018-07-19,NICA,263.03,266.39,262.18,262.18,7255
2018-07-22,NICA,261.34,262.18,257.98,260.5,11581
2018-07-23,NICA,260.5,261.34,258.82,261.34,951
2018-07-24,NICA,261.34,265.55,261.34,263.87,9354
2018-07-25,NICA,264.71,264.71,260.5,263.03,5938
2018-07-26,NICA,263.87,263.87,260.5,261.34,3729
2018-07-29,NICA,263.03,263.03,259.66,260.5,6690
2018-07-30,NICA,260.5,262.18,257.14,262.18,2672
2018-07-31,NICA,263.03,265.55,261.34,263.03,6326
2018-08-01,NICA,264.71,265.55,262.18,265.55,6318
2018-08-02,NICA,264.71,266.39,263.87,266.39,5531
2018-08-05,NICA,267.23,268.07,264.71,265.55,4436
2018-08-06,NICA,264.71,267.23,263.87,264.71,6141
2018-08-07,NICA,264.71,268.91,263.87,264.71,4293
2018-08-08,NICA,265.55,265.55,260.5,262.18,10693
2018-08-09,NICA,263.87,263.87,257.14,259.66,10753
2018-08-12,NICA,255.46,263.87,255.46,255.46,8903
2018-08-13,NICA,256.3,260.5,256.3,259.66,4058
2018-08-14,NICA,257.98,263.03,257.98,262.18,2453
2018-08-15,NICA,262.18,268.91,262.18,268.91,11005
2018-08-16,NICA,272.27,272.27,267.23,270.59,19874
2018-08-19,NICA,273.11,273.11,265.55,266.39,19853
2018-08-20,NICA,268.91,268.91,263.03,266.39,10193
2018-08-21,NICA,267.23,267.23,263.03,263.87,4251
2018-08-22,NICA,262.18,264.71,262.18,263.87,868
2018-08-23,NICA,263.03,264.71,261.34,263.03,24722
2018-08-26,NICA,264.71,264.71,263.03,263.03,3770
2018-08-28,NICA,262.18,273.11,261.34,272.27,19657
2018-08-29,NICA,268.07,273.11,268.07,273.11,15344
2018-08-30,NICA,270.59,287.39,270.59,285.71,62781
2018-09-02,NICA,280.67,303.36,280.67,300.84,91649
2018-09-03,NICA,300.0,310.92,299.16,307.56,93515
2018-09-04,NICA,302.52,326.89,302.52,321.85,89078
2018-09-05,NICA,322.69,328.57,315.97,321.85,90822
2018-09-06,NICA,321.85,322.69,312.61,318.49,42177
2018-09-09,NICA,315.13,323.53,312.61,321.01,66875
2018-09-10,NICA,321.01,323.53,315.13,322.69,38444
2018-09-11,NICA,320.17,328.57,320.17,327.73,70801
2018-09-12,NICA,324.37,342.86,324.37,342.86,126320
2018-09-13,NICA,344.54,357.14,344.54,347.06,133992
2018-09-16,NICA,353.78,354.62,342.86,342.86,87720
2018-09-17,NICA,343.7,348.74,336.97,345.38,52792
2018-09-18,NICA,345.38,345.38,340.34,342.02,40826
2018-09-20,NICA,342.02,355.46,342.02,353.78,112030
2018-09-23,NICA,357.14,375.63,352.94,369.75,161693
2018-09-25,NICA,375.63,385.71,371.43,378.15,131191
2018-09-26,NICA,378.15,378.99,364.71,370.59,60980
2018-09-27,NICA,369.75,373.95,364.71,368.07,48864
2018-09-30,NICA,363.03,373.11,363.03,371.43,72471
2018-10-01,NICA,371.43,371.43,361.34,365.55,57208
2018-10-02,NICA,363.87,365.55,357.98,361.34,37786
2018-10-03,NICA,358.82,363.03,354.62,354.62,59156
2018-10-04,NICA,360.5,360.5,348.74,357.14,39411
2018-10-07,NICA,358.82,358.82,350.42,354.62,39336
2018-10-08,NICA,352.94,360.5,352.94,358.82,30008
2018-10-09,NICA,359.66,364.71,357.14,359.66,38484
2018-10-10,NICA,365.55,365.55,355.46,358.82,16922
2018-10-11,NICA,357.14,366.39,357.14,362.18,35013
2018-10-14,NICA,362.18,369.75,361.34,366.39,36357
2018-10-15,NICA,366.39,374.79,366.39,370.59,36215
2018-10-21,NICA,364.71,380.67,364.71,378.15,40570
2018-10-22,NICA,378.15,379.83,373.95,376.47,17871
2018-10-23,NICA,376.47,376.47,371.43,375.63,38249
2018-10-24,NICA,374.79,374.79,368.91,373.95,28009
2018-10-25,NICA,373.95,373.95,367.23,372.27,26122
2018-10-28,NICA,380.67,380.67,359.66,361.34,52690
2018-10-29,NICA,357.98,361.34,355.46,356.3,32369
2018-10-30,NICA,359.66,364.71,357.14,361.34,17692
2018-10-31,NICA,357.14,358.82,352.1,352.1,20649
2018-11-01,NICA,350.42,357.14,349.58,352.94,30349
2018-11-04,NICA,348.74,352.1,345.38,347.06,28303
2018-11-05,NICA,353.78,355.46,347.9,352.1,38758
2018-11-14,NICA,357.14,363.03,353.78,355.46,3169
2018-11-15,NICA,356.3,360.5,350.42,352.1,16512
2018-11-18,NICA,350.42,357.98,349.58,354.62,70675
2018-11-19,NICA,351.26,351.26,346.22,346.22,17192
2018-11-20,NICA,347.06,347.06,343.7,345.38,19592
2018-11-21,NICA,345.38,348.74,342.02,348.74,8660
2018-11-22,NICA,348.74,348.74,344.54,345.38,8880
2018-11-25,NICA,345.2,346.22,340.34,342.86,8455
2018-11-26,NICA,342.55,345.38,340.34,344.54,9871
2018-11-27,NICA,344.54,349.58,343.7,345.38,12802
2018-11-28,NICA,345.47,347.06,338.66,342.02,9895
2018-11-29,NICA,342.63,349.58,338.66,340.34,11494
2018-12-02,NICA,340.34,347.06,334.45,336.13,36901
2018-12-03,NICA,336.13,349.58,334.45,338.66,22920
2018-12-04,NICA,338.66,343.7,338.66,342.86,43586
2018-12-06,NICA,300.84,300.84,294.96,300.0,22789
2018-12-09,NICA,300.0,315.13,298.32,315.13,23098
2018-12-10,NICA,315.13,323.53,315.13,321.01,20752
2018-12-11,NICA,321.01,323.53,314.29,315.13,31606
2018-12-12,NICA,315.13,319.33,312.61,313.45,5460
2018-12-13,NICA,313.45,320.17,313.45,317.65,30932
2018-12-16,NICA,317.65,326.05,317.65,321.85,23739
2018-12-17,NICA,321.85,326.05,319.33,326.05,33325
2018-12-18,NICA,326.05,327.73,315.97,319.33,55370
2018-12-19,NICA,319.33,321.85,317.65,319.33,28505
