Date,Symbol,Open,High,Low,Close,Volume
2020-08-27,NRN,352.0,369.0,352.0,369.0,28550
2020-08-31,NRN,425.0,445.0,425.0,445.0,75618
2020-09-02,NRN,467.0,489.0,467.0,489.0,26975
2020-09-03,NRN,513.0,537.0,513.0,537.0,44505
2020-09-06,NRN,563.0,590.0,484.0,484.0,49953
2020-09-07,NRN,460.0,460.0,436.0,436.0,7815
2020-09-08,NRN,415.0,415.0,393.0,393.0,10210
2020-09-09,NRN,374.0,374.0,354.0,354.0,14498
2020-09-10,NRN,337.0,389.0,319.0,389.0,82495
2020-09-13,NRN,408.0,427.0,408.0,427.0,71164
2020-09-14,NRN,448.0,456.0,400.0,416.0,111279
2020-09-15,NRN,436.0,436.0,400.0,408.0,35699
2020-09-16,NRN,408.0,412.0,400.0,406.0,28882
2020-09-17,NRN,401.0,405.0,398.0,401.0,32639
2020-09-20,NRN,395.0,396.0,385.0,387.0,37140
2020-09-21,NRN,370.0,380.0,370.0,371.0,45446
2020-09-22,NRN,366.0,367.0,358.0,364.0,42439
2020-09-23,NRN,358.0,386.0,355.0,375.0,26060
2020-09-24,NRN,375.0,380.0,369.0,375.0,19135
2020-09-27,NRN,371.0,374.0,364.0,368.0,16779
2020-09-28,NRN,351.0,369.0,351.0,365.0,17357
2020-09-29,NRN,361.0,366.0,358.0,359.0,31940
2020-09-30,NRN,355.0,360.0,355.0,357.0,24501
2020-10-01,NRN,352.0,377.0,352.0,359.0,30235
2020-10-04,NRN,359.0,368.0,356.0,362.0,23885
2020-10-05,NRN,357.0,363.0,357.0,358.0,15312
2020-10-06,NRN,365.0,365.0,355.0,357.0,14188
2020-10-07,NRN,352.0,371.0,352.0,371.0,25735
2020-10-08,NRN,364.0,371.0,359.0,360.0,15029
2020-10-11,NRN,365.0,370.0,351.0,357.0,9160
2020-10-12,NRN,354.0,357.0,353.0,354.0,12798
2020-10-13,NRN,350.0,358.0,350.0,354.0,10920
2020-10-14,NRN,352.0,353.0,345.0,350.0,17455
2020-10-15,NRN,350.0,355.0,347.0,350.0,10859
2020-10-18,NRN,344.0,350.0,342.0,346.0,7510
2020-10-19,NRN,342.0,361.0,342.0,347.0,7050
2020-10-20,NRN,343.0,360.0,343.0,353.0,5910
2020-10-21,NRN,360.0,364.0,350.0,353.0,14264
2020-10-22,NRN,346.0,360.0,346.0,352.0,7400
2020-10-28,NRN,345.0,353.0,345.0,351.0,8865
2020-10-29,NRN,340.0,353.0,340.0,350.0,16375
2020-11-01,NRN,350.0,354.0,341.0,348.0,11915
2020-11-02,NRN,342.0,350.0,342.0,347.0,11672
2020-11-03,NRN,341.0,350.0,341.0,345.0,9276
2020-11-04,NRN,350.0,350.0,343.0,347.0,10345
2020-11-05,NRN,355.0,355.0,342.0,342.0,12990
2020-11-08,NRN,340.0,345.0,340.0,342.0,20365
2020-11-09,NRN,345.0,366.0,342.0,353.0,31120
2020-11-10,NRN,355.0,360.0,350.0,353.0,13169
2020-11-11,NRN,347.0,386.0,347.0,374.0,47089
2020-11-12,NRN,380.0,380.0,359.0,362.0,36770
2020-11-18,NRN,362.0,372.0,360.0,364.0,16120
2020-11-19,NRN,370.0,400.0,361.0,400.0,91460
2020-11-22,NRN,410.0,432.0,396.0,410.0,131695
2020-11-23,NRN,409.0,412.0,400.0,400.0,53791
2020-11-24,NRN,400.0,428.0,396.0,414.0,60737
2020-11-25,NRN,417.0,419.0,404.0,407.0,26073
2020-11-26,NRN,410.0,413.0,401.0,401.0,36175
2020-11-29,NRN,401.0,407.0,391.0,396.0,35687
2020-11-30,NRN,395.0,406.0,390.0,396.0,29525
2020-12-01,NRN,390.0,414.0,389.0,390.0,53218
2020-12-02,NRN,387.0,414.0,387.0,406.0,42450
2020-12-03,NRN,406.0,412.0,394.0,394.0,25261
2020-12-06,NRN,388.0,398.0,376.0,376.0,27859
2020-12-07,NRN,376.0,389.0,361.0,385.0,27595
2020-12-08,NRN,378.0,388.0,376.0,377.0,20395
2020-12-09,NRN,380.0,384.0,368.0,369.0,23613
2020-12-10,NRN,364.0,378.0,363.0,375.0,25032
2020-12-13,NRN,375.0,378.0,368.0,374.0,12307
2020-12-14,NRN,371.0,401.0,371.0,388.0,35339
