Date,symbol,Open,High,Low,Close,Volume
2018-03-29,SHL,197.1,198.76,196.28,198.76,6813
2018-04-01,SHL,195.45,195.45,191.3,194.62,3770
2018-04-02,SHL,194.62,194.62,192.13,192.13,315
2018-04-03,SHL,194.62,194.62,194.62,194.62,1189
2018-04-04,SHL,197.93,200.41,196.28,199.59,1082
2018-04-05,SHL,198.76,202.07,198.76,198.76,7798
2018-04-08,SHL,202.07,212.84,201.24,210.35,9583
2018-04-09,SHL,210.35,210.35,202.9,205.38,2442
2018-04-10,SHL,205.38,208.7,204.55,207.04,2598
2018-04-11,SHL,210.35,210.35,201.24,202.9,3477
2018-04-12,SHL,205.38,206.21,201.24,206.21,2440
2018-04-15,SHL,206.21,207.04,202.9,205.38,4270
2018-04-16,SHL,207.04,214.5,206.21,211.18,12091
2018-04-17,SHL,215.32,219.46,211.18,218.64,17107
2018-04-18,SHL,222.77,234.37,212.01,224.43,16474
2018-04-19,SHL,227.74,231.06,221.11,226.91,16130
2018-04-22,SHL,231.06,234.37,226.91,232.71,19508
2018-04-23,SHL,229.4,231.06,217.81,222.77,14083
2018-04-24,SHL,226.91,226.91,216.15,221.94,8385
2018-04-25,SHL,221.94,221.94,217.81,218.64,3006
2018-04-26,SHL,215.32,223.6,214.5,214.5,53313
2018-04-29,SHL,212.01,222.77,211.18,219.46,10264
2018-05-02,SHL,218.64,221.94,217.81,221.94,1800
2018-05-03,SHL,223.6,223.6,216.98,220.29,12637
2018-05-06,SHL,216.98,218.64,209.52,215.32,7699
2018-05-07,SHL,215.32,219.46,211.18,212.84,4950
2018-05-08,SHL,211.18,216.15,209.52,216.15,3335
2018-05-09,SHL,220.29,220.29,216.15,216.15,200
2018-05-10,SHL,216.98,216.98,212.01,212.01,1078
2018-05-14,SHL,211.18,215.32,211.18,213.67,2652
2018-05-15,SHL,213.67,213.67,209.52,209.52,412
2018-05-16,SHL,208.7,215.32,208.7,215.32,1336
2018-05-17,SHL,215.32,216.15,212.01,216.15,2475
2018-05-20,SHL,214.5,215.32,212.01,212.01,2872
2018-05-21,SHL,211.18,215.32,210.35,215.32,4381
2018-05-22,SHL,212.01,216.15,211.18,216.15,3407
2018-05-23,SHL,215.32,215.32,212.01,215.32,363
2018-05-24,SHL,213.67,215.32,210.35,215.32,1895
2018-05-27,SHL,211.18,211.18,209.52,209.52,968
2018-05-28,SHL,209.52,221.94,207.87,221.94,3018
2018-05-29,SHL,219.46,219.46,216.98,216.98,600
2018-05-30,SHL,212.84,221.11,212.84,216.98,3850
2018-05-31,SHL,215.32,215.32,208.7,214.5,4912
2018-06-03,SHL,210.35,210.35,206.21,207.04,4000
2018-06-04,SHL,202.9,209.52,202.9,203.72,2062
2018-06-06,SHL,207.04,211.18,207.04,207.87,5693
2018-06-07,SHL,205.38,205.38,201.24,202.07,8746
2018-06-10,SHL,199.59,202.07,196.28,197.93,5829
2018-06-11,SHL,199.59,206.21,199.59,204.55,1950
2018-06-12,SHL,204.55,204.55,200.41,200.41,550
2018-06-13,SHL,199.59,202.9,198.76,202.07,5445
2018-06-14,SHL,202.9,206.21,202.9,206.21,650
2018-06-17,SHL,209.52,213.67,207.87,213.67,300
2018-06-21,SHL,209.52,209.52,201.24,201.24,3778
2018-06-24,SHL,203.72,204.55,201.24,201.24,2509
2018-06-25,SHL,201.24,201.24,201.24,201.24,100
2018-06-26,SHL,197.93,198.76,194.62,194.62,4688
2018-06-27,SHL,196.28,199.59,196.28,196.28,1500
2018-06-28,SHL,194.62,197.1,190.48,196.28,102478
2018-07-01,SHL,194.62,197.93,193.79,193.79,2670
2018-07-02,SHL,192.13,194.62,192.13,194.62,2136
2018-07-03,SHL,194.62,196.28,192.13,196.28,1972
2018-07-04,SHL,198.76,198.76,196.28,197.1,10862
2018-07-05,SHL,198.76,204.55,197.93,204.55,6793
2018-07-08,SHL,203.72,211.18,201.24,211.18,900
2018-07-10,SHL,215.32,215.32,211.18,211.18,200
2018-07-11,SHL,215.32,215.32,196.28,196.28,1859
2018-07-12,SHL,199.59,202.9,190.48,190.48,9938
2018-07-15,SHL,193.79,200.41,193.79,197.93,2002
2018-07-16,SHL,198.76,201.24,198.76,201.24,1300
2018-07-17,SHL,197.93,197.93,193.79,193.79,6000
2018-07-18,SHL,193.79,193.79,193.79,193.79,530
2018-07-19,SHL,194.62,197.93,193.79,197.93,3478
2018-07-22,SHL,195.45,195.45,192.13,192.13,643
2018-07-24,SHL,190.48,203.72,190.48,199.59,4497
2018-07-25,SHL,197.1,197.1,196.28,197.1,1539
2018-07-26,SHL,194.62,202.9,193.79,202.9,1800
2018-07-29,SHL,206.21,209.52,199.59,199.59,1027
2018-07-30,SHL,198.76,198.76,198.76,198.76,1105
2018-07-31,SHL,202.07,202.07,195.45,195.45,1223
2018-08-01,SHL,197.1,198.76,197.1,198.76,3616
2018-08-02,SHL,198.76,199.59,198.76,198.76,3599
2018-08-05,SHL,195.45,198.76,195.45,198.76,2551
2018-08-06,SHL,197.1,198.76,197.1,197.93,4486
2018-08-07,SHL,195.45,202.9,195.45,202.9,841
