Date,Symbol,Open,High,Low,Close,Volume
2014-08-04,EBL,2824.0,2810.0,2799.0,2801.0,2332
2014-08-05,EBL,2760.0,2800.0,2740.0,2775.0,3533
2014-08-06,EBL,2775.0,2780.0,2705.0,2780.0,5586
2014-08-07,EBL,2780.0,2740.0,2675.0,2709.0,7973
2014-08-12,EBL,2709.0,2700.0,2596.0,2640.0,4861
2014-08-13,EBL,2640.0,2692.0,2548.0,2630.0,6902
2014-08-14,EBL,2630.0,2735.0,2600.0,2730.0,5671
2014-08-18,EBL,2730.0,2775.0,2660.0,2700.0,5826
2014-08-19,EBL,2700.0,2740.0,2671.0,2720.0,7076
2014-08-20,EBL,2720.0,2700.0,2639.0,2650.0,6880
2014-08-21,EBL,2650.0,2700.0,2510.0,2640.0,6805
2014-08-24,EBL,2640.0,2699.0,2649.0,2655.0,5042
2014-08-25,EBL,2655.0,2620.0,2475.0,2500.0,14604
2014-08-26,EBL,2500.0,2450.0,2250.0,2250.0,26548
2014-08-27,EBL,2250.0,2291.0,2219.0,2270.0,24617
2014-08-28,EBL,2270.0,2340.0,2240.0,2260.0,10760
2014-08-31,EBL,2260.0,2260.0,2190.0,2190.0,18306
2014-09-01,EBL,2190.0,2257.0,2127.0,2257.0,35196
2014-09-03,EBL,2015.0,2055.0,1942.0,1942.0,800
2014-09-04,EBL,1942.0,1980.0,1870.0,1908.0,4213
2014-09-07,EBL,1908.0,1875.0,1783.0,1783.0,4778
2014-09-09,EBL,1783.0,1880.0,1775.0,1878.0,3512
2014-09-10,EBL,1878.0,1953.0,1851.0,1870.0,4092
2014-09-11,EBL,1870.0,1870.0,1780.0,1850.0,1131
2014-09-14,EBL,1850.0,1830.0,1813.0,1820.0,2416
2014-09-15,EBL,1820.0,1838.0,1800.0,1830.0,959
2014-09-16,EBL,1830.0,1850.0,1825.0,1845.0,1034
2014-09-17,EBL,1845.0,1860.0,1845.0,1850.0,785
2014-09-18,EBL,1850.0,1825.0,1825.0,1825.0,100
2014-09-21,EBL,1800.0,1805.0,1785.0,1795.0,867
2014-09-22,EBL,1795.0,1800.0,1790.0,1800.0,2236
2014-09-23,EBL,1800.0,1850.0,1810.0,1820.0,1976
2014-09-24,EBL,1820.0,1850.0,1839.0,1840.0,830
2014-09-28,EBL,1840.0,1890.0,1841.0,1890.0,1010
2014-09-29,EBL,1890.0,1948.0,1890.0,1948.0,1390
2014-09-30,EBL,1948.0,1999.0,1980.0,1985.0,1378
2014-10-08,EBL,1985.0,1960.0,1960.0,1960.0,214
2014-10-09,EBL,1960.0,1931.0,1930.0,1930.0,71
2014-10-12,EBL,1930.0,1893.0,1865.0,1866.0,995
2014-10-13,EBL,1866.0,1890.0,1861.0,1890.0,587
2014-10-14,EBL,1890.0,1930.0,1890.0,1890.0,634
2014-10-15,EBL,1890.0,1914.0,1900.0,1908.0,798
2014-10-16,EBL,1908.0,1925.0,1901.0,1911.0,654
2014-10-19,EBL,1911.0,1910.0,1901.0,1910.0,451
2014-10-20,EBL,1910.0,1930.0,1914.0,1920.0,384
